Reporting Area,MMWR Year,MMWR Week,"Spotted fever rickettsiosis, Confirmed, Current week","Spotted fever rickettsiosis, Confirmed, Current week, flag ","Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†","Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†, flag","Spotted fever rickettsiosis, Confirmed, Cum 2019†","Spotted fever rickettsiosis, Confirmed, Cum 2019†, flag","Spotted fever rickettsiosis, Confirmed, Cum 2018†","Spotted fever rickettsiosis, Confirmed, Cum 2018†, flag","Spotted fever rickettsiosis, Probable, Current week","Spotted fever rickettsiosis, Probable, Current week, flag","Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†","Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†, flag","Spotted fever rickettsiosis, Probable,  Cum 2019†","Spotted fever rickettsiosis, Probable,  Cum 2019†, flag","Spotted fever rickettsiosis, Probable,  Cum 2018†","Spotted fever rickettsiosis, Probable, Cum 2018†, flag","Smallpox, Current week","Smallpox, Current week, flag ","Smallpox, Previous 52 weeks Max†","Smallpox, Previous 52 weeks Max†, flag","Smallpox, Confirmed, Cum 2019†","Smallpox, Cum 2019†, flag","Smallpox, Cum 2018†","Smallpox, Cum 2018†, flag",Location 1,Location 2
US RESIDENTS,2019,1,,-,13,,,-,,-,1,,264,,1,,12,,,-,0,,,-,,-,,
NEW ENGLAND,2019,1,,-,0,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,,
MIDDDLE ATLANTIC,2019,1,,-,3,,,-,,-,,-,13,,,-,1,,,-,0,,,-,,-,,
NEW YORK CITY,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,
EAST NORTH CENTRAL,2019,1,,-,2,,,-,,-,,-,24,,,-,3,,,-,0,,,-,,-,,
WEST NORTH CENTRAL,2019,1,,-,5,,,-,,-,,-,61,,,-,1,,,-,0,,,-,,-,,
SOUTH ATLANTIC,2019,1,,-,6,,,-,,-,1,,64,,1,,1,,,-,0,,,-,,-,,
EAST SOUTH CENTRAL,2019,1,,-,2,,,-,,-,,-,81,,,-,4,,,-,0,,,-,,-,,
WEST SOUTH CENTRAL,2019,1,,-,2,,,-,,-,,-,50,,,-,1,,,-,0,,,-,,-,,
MOUNTAIN,2019,1,,-,3,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,-,,
PACIFIC,2019,1,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,,
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
AMERICAN SAMOA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,
ARKANSAS,2019,1,,-,0,,,-,,-,,-,49,,,-,1,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
TOTAL,2019,1,,-,13,,,-,,-,1,,264,,1,,12,,,-,0,,,-,,-,,
TEXAS,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OREGON,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
NORTH CAROLINA,2019,1,,-,2,,,-,,-,,-,26,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2019,1,,-,3,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
SOUTH DAKOTA,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2019,1,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW MEXICO,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VERMONT,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
